Occode	Level1	Level2	Level3
163	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	"ON SEAS, RIVERS, AND CANALS"	CANAL AND INLAND NAVIGATION SERVICE (ON SHORE)
164	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	"ON SEAS, RIVERS, AND CANALS"	SHIP AND BOAT OWNERS
165	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	"ON SEAS, RIVERS, AND CANALS"	STEAM NAVIGATION SERVICE
166	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	"IN DOCKS, HARBOURS, AND LIGHTHOUSES"	"STEVEDORES, WHARF AND DOCK LABOURERS"
167	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	"IN DOCKS, HARBOURS, AND LIGHTHOUSES"	"HARBOUR, DOCK, WHARF, LIGHTHOUSE--OFFICIALS AND SERVANTS"
168	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	"IN STORAGE, PORTERAGE, AND MESSAGES"	WAREHOUSEMEN (NOT MANCHESTER GOODS)
169	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	"IN STORAGE, PORTERAGE, AND MESSAGES"	"METERS, WEIGHERS ENGAGED IN STORAGE"
170	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	"IN STORAGE, PORTERAGE, AND MESSAGES"	"COALHEAVER; COAL--PORTER, LABOURER"
171	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	"IN STORAGE, PORTERAGE, AND MESSAGES"	"MESSENGER, PORTER, WATCHMAN (NOT RAILWAY OR GOVERNMENT)"
172	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	"IN STORAGE, PORTERAGE, AND MESSAGES"	"TELEGRAPH, TELEPHONE--SERVICE (NOT GOVERNMENT)"
173	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	"FARMER, GRAZIER"
174	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	CROFTERS
175	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	"FARMER'S, GRAZIER'S--SON, DAUGHTER, OR OTHER RELATIVE ASSISTING IN THE WORK OF THE FARM"
176	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	"CROFTERS--SON, DAUGHTER, OR OTHER RELATIVE ASSISTING IN THE WORK OF THE FARM"
177	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	FARM - BAILIFFS STEWARDS FOREMEN
178	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	SHEPHERD
179	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	"AGRICULTURAL LABOURER, FARM SERVANT--DISTINGUISHED AS IN CHARGE OF CATTLE"
180	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	"AGRICULTURAL LABOURER, FARM SERVANT--DISTINGUISHED AS IN CHARGE OF HORSES"
181	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED"
182	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	WOODMAN
183	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	"NURSERYMAN, SEEDSMAN, FLORIST"
184	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	MARKET GARDENER (INCLUDING LABOURER)
185	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	OTHER GARDENER (NOT DOMESTIC)
186	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	"AGRICULTURAL MACHINE--PROPRIETOR, ATTENDANT"
187	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	OTHERS IN AGRICULTURE
188	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	LAND DRAINAGE SERVICE
189	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	RABBIT CATCHERS TRAPPERS DESTROYERS (ON FARM)
190	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	OTHERS ENGAGED ABOUT ANIMALS (NON-AGRICULTURE)
191	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	VERMIN DESTROYERS (AGRICULTURE)
192	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	THATCHERS (AGRICULTURE)
193	PERSONS ENGAGED IN AGRICULTURE	"ON FARMS, WOODS AND GARDENS"	OTHERS IN COAL COKE PEAT AND CHARCOAL (INC. AGRICULTURAL: PEAT/TURF WORKERS)
194	PERSONS ENGAGED IN FISHING	IN FISHING	FISHERMEN
195	PERSONS ENGAGED IN FISHING	IN FISHING	FISHERMEN CROFTER
196	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	"COAL MINERS - HEWERS, WORKERS AT THE COAL FACE"
197	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	SHALE MINER
198	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	COAL MINERS - OTHERS BELOW GROUND & UNDEFINED
199	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	RAILWAY LABOURERS NAVVIES (COAL MINE)
200	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	COAL MINERS ABOVE GROUND
201	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	MINE SERVICE ENGINEERS
202	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	"MINE - OWNER, AGENT, MANAGER"
203	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	MINE SERVICE OTHERS (COAL)
204	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	COKE BURNERS
205	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	FACTORY LABOURERS (UNDEFINED) COKE AND GAS
206	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	PATENT FUEL MANUFACTURE
207	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	"IRON--MINER, QUARRIER"
208	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	COPPER MINER
209	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	TIN MINER
210	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	LEAD MINER
211	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	MINERS IN OTHER OR UNDEFINED MINERALS
212	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	GOLD MINER
213	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	SILVER MINER
214	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	"METALLIFEROUS MINE--OWNER, GENERAL MANAGER, CAPTAIN"
215	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	METALLIFEROUS MINE--OTHER MINE SERVICE
216	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	STONE QUARRY MANAGERS AGENTS
217	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	SLATE QUARRY MANAGERS AGENTS
218	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	SAND FLINT CLAY GRAVEL CHALK MANAGERS AGENTS
219	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	OTHER QUARRIES MANAGERS AGENTS
220	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	STONE QUARRY MINE OWNERS
221	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	SLATE QUARRY MINE OWNERS
222	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	SAND FLINT CLAY GRAVEL QUARRY MINE OWNERS
223	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	FOSSIL COPROLITE QUARRY MINE OWNERS
224	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	STONE QUARRIERS
225	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	LIMESTONE QUARRIER
226	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	STONE CUTTERS DRESSERS
227	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	SLATE QUARRIERS
228	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	SLATE WORKERS CUTTERS DRESSERS
229	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	LIME BURNERS
230	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	SAND FLINT CLAY GRAVEL CHALK WORKERS
231	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	FOSSIL COPROLITE DIGGERS
232	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	OTHER WORKERS IN QUARRIES
233	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	"EMERY, SAND PAPER MAKER"
234	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	WORKERS	ASBESTOS MAKER
235	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	DEALERS	COAL MERCHANTS AND DEALERS
236	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	DEALERS	COKE DEALERS
237	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	DEALERS	STONE DEALERS
238	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	DEALERS	SLATE DEALERS
239	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	DEALERS	SAND FLINT CLAY GRAVEL DEALERS
240	"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"	DEALERS	FOSSIL COPROLITE DEALERS
241	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	IRON AND STEEL MANUFACTURE	PIG IRON MANUFACTURE (BLAST FURNACE)
242	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	IRON AND STEEL MANUFACTURE	PUDDLING FURNACES; IRON AND STEEL ROLLING MILLS
243	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	IRON AND STEEL MANUFACTURE	TUBE MANUFACTURE
244	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	IRON AND STEEL MANUFACTURE	"STEEL--MANUFACTURE, SMELTING, FOUNDING"
245	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	"MANUFACTURE OF OTHER, MIXED, OR UNSPECIFIED METALS"	GALVANIZED SHEET MANUFACTURE
246	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	"MANUFACTURE OF OTHER, MIXED, OR UNSPECIFIED METALS"	TINPLATE  MANUFACTURE
247	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	"MANUFACTURE OF OTHER, MIXED, OR UNSPECIFIED METALS"	COPPER MANUFACTURE
248	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	"MANUFACTURE OF OTHER, MIXED, OR UNSPECIFIED METALS"	LEAD MANUFACTURE
249	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	"MANUFACTURE OF OTHER, MIXED, OR UNSPECIFIED METALS"	ZINC MANUFACTURE
250	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	"MANUFACTURE OF OTHER, MIXED, OR UNSPECIFIED METALS"	"BRASS, BRONZE-MANUFACTURE"
251	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	"MANUFACTURE OF OTHER, MIXED, OR UNSPECIFIED METALS"	GOLD SILVER SMELTERS ETC (EXTRACTION)
252	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	"MANUFACTURE OF OTHER, MIXED, OR UNSPECIFIED METALS"	MANUFACTURE OF OTHER OR UNSPECIFIED METALS
253	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	PATTERNMAKERS (ENGINE AND MACHINE MAKING (UNDEFINED - NOT TEXTILE)
254	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	PATTERNMAKERS (SPINNING WEAVING MACHINERY MAKING)
255	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	PATTERNMAKERS (AGRICULTURAL MACHINE AND IMPLEMENT MAKING)
256	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	PATTERNMAKERS (DOMESTIC MACHINERY MAKING)
257	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	PATTERNMAKERS (UNDEFINED)
258	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	MILLWRIGHT
259	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	"IRONFOUNDER -- MOULDERS, CORE MAKERS, FETTER, CUPOLA, OVERN-MAN, FOUNDRY LABOURER, OTHER & UNDEFINED"
260	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	BRASS FOUNDERS
261	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	FARRIERS
262	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	BLACKSMITHS
263	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	"FITTERS, TURNERS (ENGINE AND MACHINE)"
264	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	COLLIERY FITTERS
265	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	RAILWAY - SIGNAL SWITCH TURNTABLE FITTERS
266	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	"FITTERS, TURNERS (ENGINE AND MACHINE) LABOURERS"
267	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	BRASS FINISHERS
268	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	COPPERSMITHS (VARIOUS)
269	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	METAL MACHINISTS (ENGINE AND MACHINE MAKING)
270	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	METAL MACHINISTS (SPINNING WEAVING MACHINERY MAKING)
271	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	METAL MACHINISTS (AGRICULTURAL MACHINE AND IMPLEMENT MAKING)
272	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	METAL MACHINISTS (DOMESTIC MACHINERY MAKING)
273	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	UNDEFINED ENGINE AND MACHINE MAKING (NOT TEXTILE)
274	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	LABOURERS (UNDEFINED) IN ENGINEERING WORKS
275	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	BOILER MAKERS
276	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	OTHER WORKERS (SPINNING WEAVING MACHINERY MAKING)
277	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	OTHER WORKERS IN TEXTILE MACHINERY FITTINGS
278	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	ENGINE AND MACHINE MAKERS (UNDEFINED - NOT TEXTILE)
279	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	DOMESTIC MACHINERY MAKERS
280	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	AGRICULTURAL MACHINE AND IMPLEMENT MAKERS
281	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	RAILWAY - SIGNAL SWITCH TURNTABLE MAKERS
282	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	"RIVETERS RIGGERS METAL PLATE WORKERS (NOT SHIPS, TEXTILES, BOILERS)"
283	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	GENERAL ENGINEERING AND MACHINE MAKING	TECHNICIANS (UNSPECIFIED)
284	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	ELECTRICAL APPARATUS	ELECTRICAL CABLE MAKERS
285	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	ELECTRICAL APPARATUS	ELECTRICAL LAMP MAKERS
286	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	ELECTRICAL APPARATUS	OTHER ELECTRICAL APPARATUS MAKERS
287	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	ELECTRICAL APPARATUS	ELECTRICIANS (UNDEFINED)
288	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	TOOLS	PRINTING REGLET MAKERS
289	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	TOOLS	TOOLMAKERS (AGRICULTURAL MACHINE AND IMPLEMENT MAKING)
290	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	TOOLS	TOOLMAKERS
291	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	TOOLS	DOMESTIC IMPLEMENT MAKERS - TOOLMAKERS
292	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	TOOLS	FILE MAKERS
293	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	TOOLS	SAW MAKERS
294	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	TOOLS	CUTLERY AND SCISSOR MAKERS
295	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	TOOLS	NEEDLE MAKERS
296	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	TOOLS	PIN MAKERS
297	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	TOOLS	STEEL PEN MAKERS
298	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	"TYPE, DIES, MEDALS, COINS ETC."	ROLLER ENGRAVERS BLOCK CUTTERS (FOR TEXTILE PRINTING)
299	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	"TYPE, DIES, MEDALS, COINS ETC."	TYPE FOUNDERS
300	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	"TYPE, DIES, MEDALS, COINS ETC."	"DIE, SEAL, COIN, MEDAL - MAKER"
301	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	ARMS	GUNSMITHS
302	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	ARMS	ORDNANCE MANUFACTURE
303	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	ARMS	ARMS AND ORDNANCE - OTHERS
304	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	ARMS	SWORD AND BAYONET MAKERS
305	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	NAIL MANUFACTURE
306	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	BOLT NUT RIVET AND SCREW MANUFACTURE
307	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	ANCHOR & CHAIN MANUFACTURE
308	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	GAS STOVE MAKERS
309	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	STOVE GRATE RANGE FIRE-IRON MAKERS
310	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	BRASS BEDSTEAD MAKERS
311	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	IRON BEDSTEAD MAKERS
312	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	WIRE/SPRING MATTRESS MAKERS
313	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	WIRE MAKERS WORKERS WEAVERS
314	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	WIRE FENCER
315	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	"LOCK, KEY MAKERS"
316	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	GAS FITTINGS MAKERS
317	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	"LAMP, LANTERN, CANDLESTICK--MAKER"
318	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	"SILVER-SMITHS, BUFFERS, BURNISHERS, FINISHERS"
319	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	PEWTER WHITE METAL PLATED WARE MANUFACTURE
320	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	METAL REFINERS WORKERS
321	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	TINPLATE GOODS MANUFACTURE
322	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	COPPER WORKERS
